태전3차 우방타운,대구광역시 북구 학정로 126 (태전동),태전2동,1999-07-14,4,375,053-311-5890,건축주택과,2020-09-15
태전삼성아파트,대구광역시 북구 칠곡중앙대로52길 20 (태전동),태전2동,1994-05-28,7,735,053-313-1559,건축주택과,2020-09-15
태전중석타운,대구광역시 북구 학정로7길 3 (태전동),태전2동,1995-03-24,4,448,053-312-9742,건축주택과,2020-09-15
현대전원맨션,대구광역시 북구 칠곡중앙대로46길 25 (태전동),태전2동,1990-10-23,2,288,053-311-7118,건축주택과,2020-09-15
협성휴포레강북아파트,대구광역시 북구 태암남로 60(태전동),태전2동,2017-06-15,8,756,053-311-7620,건축주택과,2020-09-15
태전휴먼시아 1단지,대구광역시 북구 매전로 73 (태전동),태전2동,2008-09-11,14,1937,053-311-1571,건축주택과,2020-09-15
부영3단지,대구광역시 북구 구암서로 7 (구암동),구암동,2002-06-22,7,644,053-323-8609,건축주택과,2020-09-15
부영5단지,대구광역시 북구 대천로 132(구암동),구암동,2003-05-27,8,746,053-326-3285,건축주택과,2020-09-15
부영6단지,대구광역시 북구 구암로49길 24 (구암동),구암동,2002-06-22,7,536,053-323-4443,건축주택과,2020-09-15
부영7단지,대구광역시 북구 구암로49길 10 (구암동),구암동,2003-05-27,7,592,053-326-1268,건축주택과,2020-09-15
칠곡2차동서타운,대구광역시 북구 구암로32길 22 (구암동),구암동,1996-11-15,3,335,053-321-1266,건축주택과,2020-09-15
칠곡2차한라타운,대구광역시 북구 구암로 170 (구암동),구암동,1995-07-10,5,630,053-324-5232,건축주택과,2020-09-15
칠곡3차서한타운,대구광역시 북구 구암로32길 14 (구암동),구암동,1996-03-27,3,404,053-322-7869,건축주택과,2020-09-15
칠곡건영아파트,대구광역시 북구 구암로32길 15 (구암동),구암동,2001-07-13,3,250,053-325-8352,건축주택과,2020-09-15
칠곡그린빌2단지,대구광역시 북구 구암서로 70 (구암동),구암동,2001-05-08,8,656,053-321-8361,건축주택과,2020-09-15
칠곡그린빌3단지,대구광역시 북구 구암서로 41 (구암동),구암동,2000-08-25,15,1389,053-325-0160,건축주택과,2020-09-15
칠곡그린빌4단지,대구광역시 북구 구암서로 22 (구암동),구암동,2001-12-17,12,900,053-326-5454,건축주택과,2020-09-15
칠곡금빛타운,대구광역시 북구 팔거천동로 70 (구암동),구암동,1995-11-20,5,480,053-321-8797,건축주택과,2020-09-15
칠곡동서영남,대구광역시 북구 구암로 180 (구암동),구암동,1995-10-24,4,810,053-323-5669,건축주택과,2020-09-15
칠곡미래타운,대구광역시 북구 팔거천동로 52 (구암동),구암동,1995-11-17,9,720,053-324-4815,건축주택과,2020-09-15
칠곡청구타운,대구광역시 북구 학정로 271 (구암동),구암동,1995-11-25,4,466,053-322-4667,건축주택과,2020-09-15
화성그랜드파크,대구광역시 북구 구암로65길 9 (구암동),구암동,2003-12-24,8,716,053-324-6935,건축주택과,2020-09-15
동화훼밀리타운,대구광역시 북구 칠곡중앙대로95길 11 (관음동),관음동,2003-10-20,8,451,053-326-6334,건축주택과,2020-09-15
칠곡동화타운,대구광역시 북구 칠곡중앙대로95길 12 (관음동),관음동,2000-08-02,8,768,053-322-8966,건축주택과,2020-09-15
칠곡서한맨션,대구광역시 북구 관음중앙로 6 (관음동),관음동,1992-06-26,2,300,053-324-2372,건축주택과,2020-09-15
칠곡수정한양,대구광역시 북구 구암로 17 (관음동),관음동,1993-10-14,16,1354,053-322-0847,건축주택과,2020-09-15
한라타운,대구광역시 북구 칠곡중앙대로91길 58 (관음동),관음동,1992-09-03,10,304,053-324-2125,건축주택과,2020-09-15
한신 아파트,대구광역시 북구 관음로 50 (관음동),관음동,1992-11-17,5,336,053-323-5871,건축주택과,2020-09-15
SD아이프라임 강북아파트,대구광역시 북구 칠곡중앙대로125길 7 (읍내동),읍내동,2010-04-30,6,573,053-313-6111,건축주택과,2020-09-15
공작한양아파트,대구광역시 북구 구암로21길 38 (읍내동),읍내동,1993-02-18,6,386,053-321-2988,건축주택과,2020-09-15
목련아파트,대구광역시 북구 구암로15길 38 (읍내동),읍내동,1987-12-26,10,530,053-321-7586,건축주택과,2020-09-15
삼진목화아파트,대구광역시 북구 대천로9길 15 (읍내동),읍내동,1991-08-29,1,198,053-323-0576,건축주택과,2020-09-15
칠곡 산호한양아파트,대구광역시 북구 대천로7길 40 (읍내동),읍내동,1993-12-30,3,768,053-323-1779,건축주택과,2020-09-15
칠곡3차 보성타운,대구광역시 북구 칠곡중앙대로126길 7-12 (읍내동),읍내동,1997-07-09,4,456,053-324-7999,건축주택과,2020-09-15
칠곡e편한세상,대구광역시 북구 칠곡중앙대로 598 (읍내동),읍내동,2009-01-28,9,608,053-313-7023,건축주택과,2020-09-15
칠곡럭키아파트,대구광역시 북구 팔거천서로 181 (읍내동),읍내동,1993-12-01,4,320,053-321-0035,건축주택과,2020-09-15
칠곡보성맨션(1차),대구광역시 북구 구암로21길 26 (읍내동),읍내동,1992-10-24,4,350,053-323-5675,건축주택과,2020-09-15
칠곡우방타운,대구광역시 북구 칠곡중앙대로115길 24 (읍내동),읍내동,1998-12-29,2,338,053-261-1143,건축주택과,2020-09-15
칠곡한서타운,대구광역시 북구 동암로7길 39 (읍내동),읍내동,1995-03-14,5,593,053-322-3311,건축주택과,2020-09-15
칠곡현대2차,대구광역시 북구 대천로7길 26 (읍내동),읍내동,1993-08-05,3,256,053-322-8195,건축주택과,2020-09-15
코스모스한양아파트,대구광역시 북구 구암로21길 6 (읍내동),읍내동,1993-12-30,7,792,053-321-1727,건축주택과,2020-09-15
부영e그린,대구광역시 북구 동천로24길 12 (동천동),동천동,2003-07-25,9,1194,053-325-4636,건축주택과,2020-09-15
영남네오빌아트,대구광역시 북구 동천로 97 (동천동),동천동,2004-10-02,7,813,053-326-2223,건축주택과,2020-09-15
칠곡 네스빌,대구광역시 북구 동천로 155 (동천동),동천동,2004-12-07,4,512,053-326-9193,건축주택과,2020-09-15
칠곡 동화골든빌,대구광역시 북구 동천로 156 (동천동),동천동,2002-10-17,13,1123,053-326-3341,건축주택과,2020-09-15
칠곡 화성3차아파트,대구광역시 북구 대천로 101 (동천동),동천동,1999-08-21,8,1116,053-325-5693,건축주택과,2020-09-15
칠곡2차 보성서한타운,대구광역시 북구 팔거천동로 104 (동천동),동천동,1995-10-24,6,1244,053-324-6180,건축주택과,2020-09-15
칠곡2차 영남타운,대구광역시 북구 팔거천동로24길 40 (동천동),동천동,1996-07-25,6,974,053-324-6184,건축주택과,2020-09-15
칠곡우방하이츠,대구광역시 북구 구리로 26 (동천동),동천동,1999-10-30,3,404,053-322-6442,건축주택과,2020-09-15
칠곡화성타운,대구광역시 북구 동천로 6 (동천동),동천동,1995-11-22,4,481,053-323-7804,건축주택과,2020-09-15
화성센트럴파크,대구광역시 북구 대천로 100 (동천동),동천동,2003-12-26,8,1440,053-311-0950,건축주택과,2020-09-15
부영1단지,대구광역시 북구 학정동로 7 (국우동),국우동,2002-04-20,7,900,053-323-4235,건축주택과,2020-09-15
칠곡1차한라하우젠트,대구광역시 북구 학남로 10 (학정동),국우동,2007-01-23,6,566,053-321-0983,건축주택과,2020-09-15
칠곡2차한라하우젠트,대구광역시 북구 학정동로 40 (학정동),국우동,2007-05-15,4,200,053-321-3838,건축주택과,2020-09-15
칠곡그린빌1단지,대구광역시 북구 구리로 250 (국우동),국우동,1999-10-02,9,876,053-323-0206,건축주택과,2020-09-15
칠곡그린빌6단지,대구광역시 북구 학정동로 10 (국우동),국우동,2002-10-14,10,852,053-326-3348,건축주택과,2020-09-15
칠곡현대아파트,대구광역시 북구 구리로 254 (국우동),국우동,2001-06-27,6,707,053-324-0173,건축주택과,2020-09-15
학정 청아람,대구광역시 북구 학정로110길 29 (학정동),국우동,2007-11-14,8,943,053-327-1566,건축주택과,2020-09-15
그린빌5단지,대구광역시 북구 학정동로 10 (국우동).,국우동,2002-10-14,7,714,053-323-0495,건축주택과,2020-09-15
칠곡7주공(lh 칠곡7단지),대구광역시 북구 학남로 60 (학정동),국우동,2007-07-31,4,295,053-314-3777,건축주택과,2020-09-15
학정역효성해링턴플레이스,대구광역시 북구 관음로 295 (읍내동),읍내동,2018-09-21,5,467,053-311-5561,건축주택과,2020-09-15
한신더휴 이스턴 팰리스,대구광역시 북구 매전로4길 31 (매천동),관문동,2019-04-25,7,683,053-267-2770,건축주택과,2020-09-15
한신더휴 웨스턴 팰리스,대구광역시 북구 매전로4길 32 (매천동),관문동,2019-04-25,9,919,053-262-2202,건축주택과,2020-09-15
금호스타힐스테이,대구광역시 북구 내곡로 90 (사수동),관문동,2019-04-25,5,591,053-716-3610,건축주택과,2020-09-15
연경숲아파트(LH),대구광역시 북구 연경중앙로 55,무태조야동,2020-04-17,10,823,053-290-9900,건축주택과,2020-09-15
연경우방아이유쉘 더포레스트,대구광역시 북구 연경중앙로11길 33,무태조야동,2020-06-05,10,503,053-984-6400,건축주택과,2020-09-15
