일반음식점,차이(Chai)797롯데대구점,대구광역시 북구 태평로 161  10층 (칠성동2가  롯데백화점 대구점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
휴게음식점,배스킨라빈스대구경대북문점,대구광역시 북구 대학로 83 (산격동),대구광역시 북구 산격동 1341-2 ,2021-07-14
일반음식점,경주아화전통국수대구역롯데직영점,대구광역시 북구 태평로 161  롯데백화점 대구역 10층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
일반음식점,엠푸드시스템(배박사),대구광역시 북구 태평로 161  10층 (칠성동2가  롯데백화점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
휴게음식점,익선동창화당,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
휴게음식점,그린파이브,대구광역시 북구 태평로 161  지하2층 (칠성동2가  롯데백화점(매장이동)), ,2021-07-14
휴게음식점,배스킨라빈스대구칠곡점,대구광역시 북구 학정로 439  칠곡메가타운 109호 110호 (동천동),대구광역시 북구 동천동 896-2 칠곡메가타운 ,2021-07-14
일반음식점,교촌치킨연경점,대구광역시 북구 연경지묘로 6  센텀빌딩 103호 (연경동),대구광역시 북구 연경동 949-1 ,2021-07-14
일반음식점,비에이치씨(BHC)동천점,대구광역시 북구 대천로18길 30  1층 (동천동),대구광역시 북구 동천동 945-8 ,2021-07-14
제과점영업,파리바게뜨산격점,대구광역시 북구 동북로 163  201동 111 112호 (산격동  산격대우아파트),대구광역시 북구 산격동 500-1 산격대우아파트 ,2021-07-14
휴게음식점,배스킨라빈스대구산격점,대구광역시 북구 동북로 163  102동 109 110호 (산격동  산격대우아파트상가),대구광역시 북구 산격동 500-1 산격대우아파트상가 109 110호 102동 ,2021-07-14
일반음식점,명륜진사갈비서변연경점,대구광역시 북구 호국로 235  2층 (서변동),대구광역시 북구 서변동 1779-10 ,2021-07-14
휴게음식점,투썸플레이스대구연경점,대구광역시 북구 연경중앙로1길 16  1 2층 (연경동),대구광역시 북구 연경동 954-3 ,2021-07-14
일반음식점,카츠랑180대구롯데점,대구광역시 북구 태평로 161  10층 (칠성동2가  롯데백화점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
일반음식점,본도시락침산점,대구광역시 북구 침산로 153  104동 1층 D2-3호 (침산동  명성푸르지오),대구광역시 북구 침산동 269-10 ,2021-07-14
일반음식점,아비꼬롯데백화점대구점,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
휴게음식점,갓호두,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
휴게음식점,피자헛대구태전점,대구광역시 북구 매전로 46  1층 (태전동),대구광역시 북구 태전동 1178 ,2021-07-14
