고운미의원,영업중,"대구광역시 북구 침산로 124, 2층 (침산동)",,35.88729112,128.591752,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,,,,053-352-0070,2021-07-19
고원섭내과의원,영업중,대구광역시 북구 구암로 150 (구암동),대구광역시 북구 구암동 650-1/농업기반공사->칠곡IC,35.93148344,128.5571058,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,09:30~18:30,09:30~13:00,,,,053-321-8207,2021-07-19
고은연합소아청소년과의원,영업중,대구광역시 북구 침산남로 140,대구광역시 북구 침산3동 260-8/침산네거리 북대구농협 3층,35.8880848,128.5909532,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,09:00~13:00,,053-341-5225,2021-07-19
공피부과의원,영업중,대구광역시 북구 팔달로 149,대구광역시 북구 노원동3가 763-/원대오거리~만평네거리 사이(팔달시장),35.88927881,128.566459,09:30~19:30,09:30~18:30,09:30~13:00,09:30~18:30,09:30~19:30,09:30~16:00,,09:30~13:00,,053-710-0710,2021-07-19
굿모닝신경과의원,영업중,"대구광역시 북구 학정로 419, 3층 304호 (동천동)",,35.94208969,128.5630804,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,,053-323-0075,2021-07-19
권혜진소아과의원,영업중,"대구광역시 북구 대천로 100, 213/201 (동천동,화성센트럴파크상가)",대구광역시 북구 동천동 950/화성센트럴파크상가2층,35.93503621,128.559968,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,,053-327-0075,2021-07-19
기세길내과의원,영업중,"대구광역시 북구 대천로 91, 1층 (동천동)",대구광역시 북구 동천동 931-4 진보빌딩1층/동천동농협 맞은편,35.93716235,128.5593151,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,,053-321-0005,2021-07-19
김가정의학과-외과의원,영업중,대구광역시 북구 대구체육관로 51-2 (산격동),,35.89268443,128.6049545,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,,09:00~19:00,,053-941-3893,2021-07-19
김규태안과의원,영업중,대구광역시 북구 동북로 163,대구광역시 북구 산격동 500-1/산격대우상가 3층,35.89958173,128.6110923,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-382-4020,2021-07-19
김무곤초심내과의원,영업중,"대구광역시 북구 침산남로19길 2, 2층 (침산동)",,35.88942773,128.5869177,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,,053-353-6060,2021-07-19
김문규이비인후과의원,영업중,대구광역시 북구 동북로 163,대구광역시 북구 산격2동 500-1/대우아파트상가 2층,35.89965654,128.6108901,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,,,,053-381-0035,2021-07-19
김숙현산부인과의원,영업중,"대구광역시 북구 침산남로 154, 302호 (침산동,메이저타워)",대구광역시 북구 침산2동265-11 메이저타워/침산네거리,35.88784648,128.5922769,09:30~18:30,09:30~19:00,09:30~13:30,09:30~18:30,09:30~18:30,09:30~13:30,,,,053-359-1090,2021-07-19
김시환내과의원,영업중,"대구광역시 북구 동북로 311, (복현동)",대구광역시 북구 복현동 375-13/중앙주유소 옆,35.89200234,128.6237818,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,,,,053-959-3800,2021-07-19
김연합의원,영업중,"대구광역시 북구 검단로 114, 2층 (검단동)",대구광역시 북구 검단동 936-9,35.90676831,128.6201834,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,,,053-383-7571,2021-07-19
김정수이비인후과의원,영업중,"대구광역시 북구 학정로 415, 303호 (동천동, 메가타운)",,35.94183859,128.5629869,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,09:00~13:00,,053-327-3338,2021-07-19
김제형내과의원,영업중,대구광역시 북구 대현로 88-1,대구광역시 북구 대현2동 408-2/동대구시장 입구,35.88250378,128.6086472,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-954-4288,2021-07-19
김종서내과의원,영업중,"대구광역시 북구 고성로28길 1, 1층 (고성동2가)",,35.88120397,128.5816523,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-352-5124,2021-07-19
김종철내과의원,영업중,대구광역시 북구 학정로 38,대구광역시 북구 태전동 770-2 매천택지개발지구 2B1롯트(2층)/대구병원삼거리중석타운방향,35.91327249,128.5468414,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,,,,053-313-0112,2021-07-19
김지은정신건강의학과의원,영업중,"대구광역시 북구 침산남로 140, 엠비프라자 4층 403호 (침산동)",,35.88808751,128.5909529,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-356-7566,2021-07-19
김하식외과의원,영업중,대구광역시 북구 칠곡중앙대로 219 (태전동),대구광역시 북구 태전동 496-10,35.91562074,128.5481101,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,,053-312-5690,2021-07-19
꿈나무연합소아청소년과의원,영업중,"대구광역시 북구 학정로 419, 3층 302,303호(동천동)",대구광역시 북구 학정로 419(동천동),35.94211178,128.5630282,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,09:00~13:00,,053-324-7100,2021-07-19
녹십자연합의원,영업중,대구광역시 북구 칠곡중앙대로 535 (읍내동),,35.94343077,128.5506139,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,,053-314-1001,2021-07-19
늘편한속연합내과의원,영업중,"대구광역시 북구 침산남로 154, 메이저타워 2층 201호 (침산동)",,35.88784648,128.5922769,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,,,,053-351-9070,2021-07-19
늘편한신경외과의원,영업중,"대구광역시 북구 동북로 172, 2층 (산격동)",,35.89887908,128.6113439,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-952-2345,2021-07-19
늘푸른의원,영업중,대구광역시 북구 태전로1길 26 (태전동),,35.92009252,128.54346,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,,053-311-0980,2021-07-19
다비드제통외과의원,영업중,"대구광역시 북구 칠곡중앙대로 393, 3층 (태전동)",,35.93073216,128.5477396,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,,053-351-1704,2021-07-19
닥터배이비인후과의원,영업중,대구광역시 북구 동암로 90 세븐밸리 4층,대구광역시 북구 동천동 894-1 세븐밸리 세븐밸리 4층,35.94414135,128.5614181,09:30~18:30,09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~13:00,09:30~13:00,,"1,2,3,4,5",053-323-7582,2021-07-19
대구성모안과의원,영업중,대구광역시 북구 동북로 168,대구광역시 북구 산격동 1260-6/대우산격APT상가 맞은편,35.89904039,128.6108732,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,,053-955-1090,2021-07-19
대현이비인후과의원,영업중,"대구광역시 북구 대현로 96, 2층일부 (대현동)",대구광역시 북구 대현동 407-12(2층),35.88237778,128.6095,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,,09:00~13:00,,053-939-8577,2021-07-19
더편한연합정형외과의원,영업중,"대구광역시 북구 팔달로 191, 1층, 2층 (노원동2가)",,35.8886627,128.5710842,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,,053-283-0119,2021-07-19
동대구정형외과의원,영업중,"대구광역시 북구 신암로 105 (대현동, 1,2층 일부)",,35.88027493,128.610803,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,,,,053-941-6370,2021-07-19
동산안과의원,영업중,"대구광역시 북구 칠곡중앙대로 404, 4층(태전동,메디팜빌딩)",대구광역시 북구 태전동 993-12 메디팜빌딩,35.93185667,128.5485795,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,,09:00~12:00,,053-323-9691,2021-07-19
동산연합정형외과의원,영업중,"대구광역시 북구 원대로 76, 지하,1층일부,2층일부,4층호 (고성동3가)",,35.88423867,128.5819467,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,09:00~15:30,,053-356-0070,2021-07-19
동산의원,영업중,"대구광역시 북구 고성로 154, (고성동2가)",대구광역시 북구 고성동2가 111-2/시민운동장->태평전화국,35.88102389,128.5825301,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,,09:00~15:00,,053-351-7582,2021-07-19
동서변정형외과의원,영업중,대구광역시 북구 호국로 215 (서변동),대구광역시 북구 서변동 1787 대성골든프라자2차,35.92082858,128.5988136,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,,053-958-7582,2021-07-19
동서정형외과의원,영업중,대구광역시 북구 칠곡중앙대로 406 (태전동),,35.93197673,128.5486328,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-323-1500,2021-07-19
동아이비인후과의원,영업중,"대구광역시 북구 칠곡중앙대로 424, (읍내동)",대구광역시 북구 읍내동 1343-4/칠곡네거리->칠곡가톨릭병원,35.93353889,128.5489417,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:15,,09:00~12:00,,053-322-1245,2021-07-19
동영연합의원,영업중,"대구광역시 북구 연암로 170, 1층,3층 (산격동)",,35.89957808,128.5964415,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:00,,,,053-956-5757,2021-07-19
두드림정신건강의학과의원,영업중,"대구광역시 북구 침산로 138, 명성프라임 3층 305호 (침산동)",,35.88880707,128.5918709,09:30~20:00,09:30~19:00,14:30~20:00,09:30~19:00,09:30~19:00,09:30~14:00,,,,053-354-8275,2021-07-19
드림비뇨의학과의원,영업중,"대구광역시 북구 칠곡중앙대로 385-1, 3층 (태전동)",대구광역시 북구 태전동 961-15 /칠곡황장군 부근,35.92978333,128.5475528,09:30~18:00,09:30~18:00,09:30~18:00,14:00~20:00,09:30~18:00,09:30~13:00,,,,053-323-0411,2021-07-19
든든한배연합내과의원,영업중,"대구광역시 북구 침산로 173, 2층 203호 (침산동)",,35.89148901,128.5896831,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,,,,053-351-7070,2021-07-19
라온연합의원,영업중,대구광역시 북구 동천로23길 6,대구광역시 북구 동천동 908-5/영남네오빌101동 길건너,35.94211421,128.5600845,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-654-0278,2021-07-19
류외과연합의원,영업중,대구광역시 북구 검단로 112,대구광역시 북구 검단동 936-3,35.90655277,128.6199485,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-382-7585,2021-07-19
마디척재활의학과의원,영업중,"대구광역시 북구 침산남로 155, 1,4층 (침산동)",,35.88816712,128.5928326,09:00~19:00,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,,,,053-353-9698,2021-07-19
마인드필정신건강의학과의원,영업중,"대구광역시 북구 침산남로 136, 6층 (침산동, 동성빌딩)",대구광역시 북구 침산3동 260-10(동성빌딩6층)/침산네거리 인근,35.88821593,128.5908491,10:00~19:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~19:00,10:00~15:00,,,,053-351-5566,2021-07-19
맑은연합속내과의원,영업중,"대구광역시 북구 학정로 427, 2층 일부층 (동천동)",대구광역시 북구 동천동 912-1 일도프라자,35.94239216,128.5631041,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,,053-312-7557,2021-07-19
맘스맘연합소아청소년과의원,영업중,"대구광역시 북구 내곡로 38-6, 201,202호 (사수동)",,35.89891846,128.5106371,09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~18:30,09:00~14:00,,09:00~13:00,,053-324-7707,2021-07-19
명성연합신경외과의원,영업중,대구광역시 북구 침산로 138 (침산동),,35.8887525,128.5917713,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,,053-358-7272,2021-07-19
