구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
수성서,수성구 만촌동 동문고등학교 서편 (북),수성구 만촌동 동문고등학교 서편 편측(남),편측,190,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤초과화물차, 30인초과승합차"
수성서,달구벌대로 488길(범어동산168-1),달구벌대로 488길(범어동산168-1→범어동374-8)편측345m,편측,345,"09:00, 20:00","17:00, 07:00",,,,,"1.5톤초과화물차, 30인초과승합차"
수성서,범안로(용지역 2번출구),범안로(관계삼거리),편측,240,"11:00, 21:00","13:00, 07:00",,,,,"1.5톤초과화물차, 30인초과승합차"
수성서,수성구 들안로 20길 동,수성구 들안로 20길 서,편측,180,"09:00, 15:00","12:00, 08:00",0:00,0:00,0:00,0:00,"1.5톤초과화물차, 15인이상승합차"
수성서,수성구 화랑로 34길 신동아파밀리에@ 남편,수성구 화랑로 34길 신동아파밀리에@ 남편,편측,170,17:00,7:00,0:00,0:00,0:00,0:00,"1.5톤이상화물차, 30인이상승합차"
수성서,상동네거리,두산동 두산오거리 서편(상동네거리→두산동 주민센타 서편),편측,800,,,0:00,0:00,0:00,0:00,"1.5톤초과화물차, 36인승초과승합차"
성서서,용산동 용산시장앞,용산동 용산시장앞 ↔ 경북약국,양측,145,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,
성서서,본리동145-5,본리어린이공원앞,양측,150,"09:00, 20:00","18:00, 07:00",0:00,0:00,0:00,0:00,
성서서,본리동 119안전센타,성당중학교 네거리,양측,290,22:00,7:00,0:00,0:00,0:00,0:00,"1.4톤이상화물차, 승합30인승승합차"
성서서,본리 현대 백조타운 108동 앞 교차로,감천 네거리 교차로,양측,600,"11:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,
성서서,신당 4R 교차로,계명문화대 교차로,양측,1000,"10:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,
